"nom_methode_dpe","version_methode_dpe","date_etablissement_dpe","consommation_energie","classe_consommation_energie","estimation_ges","classe_estimation_ges","annee_construction","surface_thermique_lot","latitude","longitude","tr001_modele_dpe_type_libelle","tr002_type_batiment_description","code_insee_commune_actualise","tv016_departement_code","geo_adresse","geo_score"
"3CL","3CL-DPE, version 1.3","2013-04-12",132,"C",29,"D",5200,190,46.3333359,5.4893103,"Vente","Maison Individuelle","01430","01","Impasse du Tilleul (Chemin) Charnod",0.81
"Méthode Facture",,"2013-04-20",0,"N",0,"N",1947,42,48.424543,2.1368622,"Vente","Maison Individuelle","83590","02","Rue de la Treille (Pont) Étampes",0.8
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-16",326,"E",18,"C",2006,107,,,"Vente","Maison Individuelle","03360","03",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-06",326,"E",14,"C",1948,90,43.1132176,1.6080693,"Vente","Logement","04320","04","Rue Serpente (Escalier) Pamiers",0.89
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-27",221,"D",3,"A",2006,78.2,42.7617201,1.7616399,"Location","Logement","05120","05","Rue de la Mairie (Pont) Luzenac",0.9
"Facture","facture","2013-02-13",0,"N",0,"N",1948,54.31,,,"Vente","Logement","06400","06",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-10",174,"D",52,"E",2001,87.56,46.4595973,4.5992193,"Vente","Maison Individuelle","07610","07","Le Pré Poulin (Arrêt de bus) La Vineuse sur Fregande",0.88
"Méthode Facture",,"2013-05-02",351,"F",82,"G",1947,122.32,,,"Vente","Logement","08000","08",,0
"Méthode Facture",,"2013-05-06",8,"A",0,"A",1947,102,,,"Vente","Maison Individuelle","09000","09",,0
"3CL - DPE","V2012","2013-05-02",249.12,"E",13.26,"C",2006,91,48.14083,4.211108,"Location","Maison Individuelle","10331","10","16 bis Route de Nicey 10260 Rumilly-lès-Vaudes",0.94
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-15",195,"D",9,"B",1989,35,,,"Vente","Maison Individuelle","11430","11",,0
"TROIS_CL_DPE","VERSION_2012","2013-05-08",287.13,"E",86.14,"G",1974,202.6,,,"Vente","Maison Individuelle","12005","12",,0
"3CL","3CL-DPE, version 1.3","2013-04-08",206,"D",10,"B",2006,84,,,"Vente","Logement","13013","13",,0
"3CL","3CL-DPE, version 1.3","2013-04-13",322,"E",17,"C",1983,80,51.0260528,2.4863305,"Vente","Maison Individuelle","14470","14","Rue des Aubépines (Chemin) Uxem",0.8
"TROIS_CL_DPE","VERSION_2012","2013-05-09",358.04,"F",20.31,"C",1975,172.5,44.5580681,2.254087,"Vente","Maison Individuelle","15013","15","Rue de l'Égalité (Escalier) Decazeville",0.75
"FACTURE - DPE","V2012","2013-04-09",29.54,"A",6.91,"B",2006,87.5,45.63127,0.166008,"Neuf","Maison Individuelle","16015","16","Hameau des Rossignols 16000 Angoulême",0.86
"FACTURE","VERSION_2012","2013-04-05",64.42,"B",0.99,"A",1940,109.5,47.3373928,0.0537632,"Vente","Maison Individuelle","17044","17","Chemin de la Poitevinière La Breille-les-Pins",0.83
"3CL - DPE","V2012","2013-04-23",219.47,"D",52.89,"E",1900,108.7,47.386943,2.876888,"Vente","Maison Individuelle","18020","18","25 Rue des Bonnins 18300 Bannay",0.62
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-10",212,"D",10,"B",1983,42.25,45.348946,1.637513,"Vente","Logement","19100","19","18 Rue du Champ Fleury 19700 Lagraulière",0.42
"3CL","3CL-DPE, version 1.3","2013-04-09",213,"D",10,"B",2006,42,,,"Location","Logement","21000","21",,0
"FACTURE","VERSION_2012","2013-04-25",282.41,"E",239.06,"G",1900,114.75,48.631526,-3.314171,"Vente","Maison Individuelle","22004","22","Kerogant 22140 Bégard",0.44
"3CL","3CL-DPE, version 1.3","2013-04-09",281,"E",65,"F",1978,121.2,44.134406,4.8032741,"Vente","Maison Individuelle","23110","23","Lotissement Clos des Thermes (Zone résidentielle) Orange",0.76
"3CL - DPE","V2012","2013-05-02",189.34,"D",44.69,"E",2000,95,45.382138,0.259403,"Vente","Maison Individuelle","24303","24","Le Moulin du Treuil 24320 Nanteuil-Auriac-de-Bourzac",0.92
"3CL","3CL-DPE, version 1.3","2013-04-11",296,"E",20,"C",1989,22.63,,,"Vente","Logement","25200","25",,0
"Facture","facture","2013-04-12",0,"N",0,"N",1948,180,,,"Vente","Maison Individuelle","26780","26",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-18",298,"E",11,"C",1983,105,49.133106,0.845441,"Vente","Maison Individuelle","27210","27","Chemin du Buisson Saint-martin 27170 Écardenville-la-Campagne",0.56
"Méthode Facture",,"2013-04-12",0,"N",0,"N",1947,75,48.15627,4.0385218,"Location","Maison Individuelle","28700","28","Chemin Grande Rue Lirey",0.76
"3CL - DPE","V2012","2013-04-17",259.91,"E",12.68,"C",1999,64.2,47.894507,-4.003701,"Vente","Maison Individuelle","29058","29","12 Résidence de la Fontaine 29170 Fouesnant",0.45
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-24",126,"C",5,"A",1983,65,,,"Vente","Maison Individuelle","20137","2A",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-03",152,"D",9,"B",1989,130,,,"Vente","Maison Individuelle","20250","2B",,0
"Méthode Facture",,"2013-04-15",0,"N",0,"N",1947,87.5,,,"Vente","Logement","30160","30",,0
"3CL","3CL-DPE, version 1.3","2013-04-08",177,"D",9,"B",2001,70.66,42.970661,0.658073,"Vente","Logement","31200","31","6 Rue Principale 31510 Frontignan-de-Comminges",0.36
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-16",155,"D",9,"B",2001,105,47.8876296,-1.6854522,"Vente","Maison Individuelle","32110","32","Au Village (Café) Poligné",0.9
"3CL","3CL-DPE, version 1.3","2013-04-09",276,"E",15,"C",1948,77.14,43.6676422,4.629859,"Location","Logement","33650","33","Place Montesquieu (Parking) Arles",0.76
"3CL - DPE","V2012","2013-04-04",253.77,"E",14.32,"C",1984,124,43.656307,3.971334,"Vente","Maison Individuelle","34327","34","12 bis Rue du Peyrou 34740 Vendargues",0.95
